Habitat	IJSEM_year	article_doi	16S_rDNA_accession_number	DNA_GC_content_mol	oxygen_preference	mean_length_microns	mean_width_microns	motility	spore_production	Metabolism_assays	Genus_name	species_name	strain_name	pH_optimum_for_growth	pH_range_at_which_growth_occurred	temperature_optimum_for_growth_degC	temperature_range_at_which_growth_occurred_degC	optimal_NaCl_concentration_for_growth_	NaCl_concentration_range_at_which_growth_occurred_	pigment_production	cell_shape	cell_aggregation	article_first_page	culture_collection_codes	Sole_carbon_substrate_use	genome_accession_number	gram_status	If_'other'_was_chosen_above__please_enter_a_habitat_below	The_paper_included_Biolog_results
hypersaline_environment	2014	NA	JX402080	36.2	aerobic	01_04_14	0.2_0.5	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.0_7.5	6.5_8.0	35_42	25_50	9_12	Up_to_21	no	rod	clump	27	__CGMCC1.12331T__JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__xylose		positive		No
other	2014	10.1099_ijs.0.05306_0	JX402080	36.2	aerobic	1.0_4.0	0.2_0.5	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.25	6.5_8.0	38.5	25_50	10.5	Jan_21		rod		27	CGMCC1.12331T_JCM18732T	fructose__galactose__gelatin__glucose__lactose__mannitol__raffinose__ribose__sucrose__trehalose__Tween_20__Tween_40__urea__xylose		positive	neutral_saline	No
freshwater_river__lake__pond	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	2.5	0.35	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.25	6.5_8.0	38.5	25_50	10.5	Jan_21	NA	rod	not_indicated	27	CGMCC1.12331T_JCM18732T	cellobiose__fructose__galactose__glucose__glycerol__lactose__mannitol__mannose__raffinose__rhamnose__ribose__sucrose__xylose		positive		No
freshwater_river__lake__pond	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	01_Apr	.2_.5	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4	7.0_7.5	6.5_8	35_42	25_50	9_12	1_21	yes	rod	not_indicated	27	CGMCC_1.12331T_5JCM_18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__rhamnose__xylose		positive		No
freshwater_river__lake__pond	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	1.0_4.0	0.2_0.5	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.0_7.5	6.5_8.0	35_42	25_50	09_Dec	Jan_21		rod	not_indicated	27	CGMCC1.12331T_5JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__Tween_20__Tween_40__urea__xylose		positive		No
freshwater_river__lake__pond	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	1.0_4.0	0.2_0.5	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.0_7.5	6.5_8.0	35_42	25_50	<21	09_Dec		rod		27	CGMCC_1.12331T_JCM_18732T	Tween_20__Tween_40__urea__xylose		positive		No
freshwater_river__lake__pond	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	2.5	0.35	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.25	6.5_8.0	38.5	25_50	10.5	09_Dec	NA	rod	not_indicated	27	CGMCC1.12331T_JCM18732T	fructose__galactose__gelatin__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__trehalose__Tween_20__Tween_40__urea__xylose		positive		No
freshwater_river__lake__pond	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	1.0_4.0	0.2_0.5	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.0_7.5	6.5_8.0	35_42	25_50	52.2_69.6	5.8_121.8	NA	rod	not_indicated	27	CGMCC_1.12331T_JCM_18732T	arabinose__fructose__galactose__gelatin__glucose__glycerol__lactose__ribose__sucrose__trehalose__Tween_20__Tween_40__urea__xylose		positive		No
freshwater_sediment_river__lake__pond	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	_1.0_4.0	0.2_0.5	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7_7.5	6.5_8.0	35_42	25_50	9_12	21		rod	clump	27	CGMCC1.12331T_JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__Tween_20__Tween_40__urea__xylose		positive		No
freshwater_sediment_river__lake__pond	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	0.25	0.35	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4	7.25	6.5_8.0	38.5	25_50	10.5	Jan_21		rod	clump	27	5CGMCC1.12331T_5JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__trehalose__Tween_20__Tween_40__urea__xylose		positive		No
freshwater_sediment_river__lake__pond	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	1.0_4.0	0.2_0.5	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.0_7.5	6.5_8.0	35_42	25_50	09_Dec	Jan_21	NA	rod	clump	27	CGMCC1.12331T_JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__Tween_20__Tween_40__urea__xylose		positive		No
freshwater_sediment_river__lake__pond	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	1.0_4.0	0.2_0.5	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus_	xinjiangensis	J4T	7.0_7.5	6.5_8.0	35_42	25_50	09_Dec	<21	no	rod	chain	27	CGMCC1.12331T_JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__trehalose__Tween_20__Tween_40__urea__xylose		positive		No
hypersaline_environment	2014	10.1099_ijs.0.053306_0	JX402080	32.6	aerobic	2.5	0.35	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	Xinjiangensis		7.25	6.5_8.0	38.5	25_50	10.5	Jan_21		rod	not_indicated	27	CGMCC1.12331	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__trehalose__xylose		positive		Yes
hypersaline_environment	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	1.0_4.0	0.2_0.5	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.3	6.5_8.0	37.5	25_50	11	Jan_21		rod		27	CGMCC1.12331T5_JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__xylose		positive		No
hypersaline_environment	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	2.5	0.35	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangenesis	J4T	7.25	6.5_8.0	38.5	25_50	10.5	Jan_21		rod		27	CGMCC1.12331T_JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__trehalose__Tween_20__Tween_40__xylose		positive		No
hypersaline_environment	2014	10.1099_ijs.0.053306_0	JX402080	36.2		1.0_4.0	0.2_0.5	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T_	7.0_7.5	6.5_8.0	35_42	25_50	09_Dec	Jan_21	no	rod	clump	27	CGMCC_1.12331T_5___JCM_18732T	Tween_20__Tween_40__urea__xylose		positive		No
hypersaline_environment	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	2.5	3.5	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.25	6.5_8.0	38.5	25_50	10.5	<21		rod	not_indicated	27	CGMCC1.12331T_JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__Tween_20__Tween_40__xylose		positive		No
hypersaline_environment	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	2.5	0.35	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4	7.25	6.5_8.0	38.5	25_50	10.5	09_Dec	NA			27	CGMCC1.12331T_JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__Tween_20__Tween_40__urea__xylose		positive		No
hypersaline_environment	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	2.5	0.35	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.25	6.5_8	38.5	25_50	10.5	Jan_21		rod	clump	27	CGMCC1.12331T_JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__rhamnose		positive		No
hypersaline_environment	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	2.5	0.35	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.25	6.5_8.0	38.5	25_50	10.5	Jan_21		rod		27	CGMCC1.12331T_JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__rhamnose__sucrose__Tween_20__Tween_40__urea__xylose		positive		No
other	2014	10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	01_Apr	.2_.5	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.0_7.5	6.5_8	35_42	25_50	09_Dec	<21		rod		27	CGMCC1.12331T__JCM18732T_	fructose__galactose__gelatin__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__Tween_20__Tween_40__urea__xylose		positive	neutral_saline_lake_	No
other	2014	10.1099_ijs.0.053306_0	JX402080	36.2		2500	3500	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4	7.25	6.5_8.0	38.5	35_42	10.5	Jan_21		rod		27		fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__xylose		positive	Saline_lake	No
hypersaline_environment	2014	10.1099_ijs0.053306_0	JX402080	36.2	aerobic	0.25	0.35	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4T	7.25	6.5_8.0	38.5	25_50	10.5	<21		rod	not_indicated	27	CGMCC1.12331T_JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__Tween_20__Tween_40__urea__xylose		positive		No
hypersaline_environment	2014	doi:_10.1099_ijs.0.053306_0	JX402080	36.2	aerobic	2.5	0.35	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	xinjiangensis	J4	7.25	6.5_8	38.5	25_50	10.5	1_21_2014	yes	rod	not_indicated	27	CGMCC1.12331Tó__ó_JCM18732	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__Tween_20__Tween_40__xylose		positive		Yes
hypersaline_environment	2014	NA	JX402080.	36.2	aerobic	2.5	0.35	flagella	yes	catalase_positive__gelatinase__urease_positive	Salinibacillus	_xinjiangensis	J4T	7.25	6.5_8.0	37.5	25_50	09_Dec	>1__<21	no	rod	clump	27	_1.12331T_5JCM18732T	fructose__galactose__glucose__lactose__mannitol__mannose__raffinose__ribose__sucrose__xylose		positive		No
other	2013	10.1099_ijs.0.053744_0	JX412958	31.5	aerobic	2.5	0.4	gliding	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__oxidase_positive	Flaviramulus	ichthyoenteri	Th78	7.5	7.0_9.0	28	Apr_37	2.5	0.5_6	yes	rod	not_indicated	4477	JCM18634_KCTC32142_DSM26285	alanine__alanine__alpha_cyclodextrin__alpha_ketovaleric_acid__glycogen__N_acetylgulcosamine__proline__succinic_acid_succinate		negative	intestine_of_a_cultured_flounder	Yes
hotspring	2013	10.1099_ijs.0.051425_0	JX420244	62.7	anaerobic			non_motile	no		Thermoanaerobaculum	aquaticum	MP_01	6.75	6.0_8.0	60	50_65	0	0_0.5	NA	rod	not_indicated	4149	DSM24856_JCM18256	pyruvic_acid_pyruvate		negative		Yes
seawater	2013	10.1099_ijs.0.052738_0	JX456458	35.1	facultative_anaerobe	2.95	0.7	non_motile	not_indicated	alkaline_phosphatase	Kordia	antarctica	IMCC3317	8	6.0_9.0	20	Apr_30	2.5	0.5_5.0	yes	rod	clump	3617	KCTC32292_NBRC109401	5_ketoguconate__arabitol__cellobiose__citric_acide_citrate__fucose__gluconic_acid__lactose__maltose__melibiose__N_acetylgulcosamine__raffinose__sucrose__trehalose		negative		Yes
built_environment	2013	10.1099_ijs.0.050021_0	JX458466	42	aerobic			non_motile	not_indicated	acid_phosphatase__alkaline_phosphatase__alpha_galactosidase__catalase_positive__oxidase_positive	Heliimonas	saccharivorans	L2_4	6.5	4.0_9.5	30	Oct_45		0_0.5	yes	not_indicated	not_indicated	3793	CECT8122_LMG26919	arabinose__cellobiose__fructose__galactose__glucose__glycogen__lactose__maltose__mannose__melibiose__N_acetylgulcosamine__raffinose__rhamnose__sucrose__trehalose__xylose		negative		Yes
hypersaline_environment	2013	10.1099_ijs.0.047167_0	JX485633	66.4	aerobic			non_motile	yes	catalase_positive__gelatinase	Actinopolyspora	lacussalsi	TRM_40139	7	6.0_9.0	35	25_40	12	Oct_20	no	rod	not_indicated	3009	KCTC19657_CCTCCAA2012020	arabinose__fructose__maltose__mannitol__xylose		positive		Yes
other	2013	10.1099_ijs.0.051490_0	JX488684	48.6	facultative_anaerobe	2	0.7	motile__but_unspecified_structure	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__oxidase_positive	Endozoicomonas	euniceicola	EF212	8	7.0_8.0	26	15_30	2.5	01_Apr	yes	rod	clump	4294	NCCB100458_DSM26535	acetate__alanine__alaninamide__alanine__asparagine__aspartic_acid_aspartate__dextrin__glucose__glycerol__inosine__lactose__maltose__N_acetylgulcosamine__proline__succinic_acid_succinate__threonine__Tween_40__Tween_80__uridine		negative	octocoral	Yes
other	2013	10.1099_ijs.0.051490_0	JX488685	47.5	facultative_anaerobe	2	0.7	motile__but_unspecified_structure	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__oxidase_positive	Endozoicomonas	gorgoniicola	PS125	8	7.0_9.0	26	15_30	2.5	01_Apr	yes	rod	clump	4294	NCCB100438_CECT8353	2_aminethanol__2_3_butanediol__acetate__alanine__alaninamide__alanine__alpha_cyclodextrin__arabitol__asparagine__aspartic_acid_aspartate__citric_acide_citrate__gluconic_acid__glucosamine__glucose__glutamic_acid__glycerol__glycogen__histidine__inosine__lactate__lactose__malonic_acid_malonate__maltose__mannitol__mannose__melibiose__myo_inositol__N_acetylgulcosamine__ornithine__proline__putrescine__quinic_acid__raffinose__rhamnose__sorbitol__succinic_acid_succinate__trehalose__Tween_40__Tween_80__uridine__xylitol		negative	octocoral	Yes
freshwater_river__lake__pond	2013	10.1099_ijs.0.048413_0	JX502604	37.9	aerobic	1.99	0.69	gliding	no	catalase_positive__gelatinase	Pustulibacterium	marinum	E403	8	6.0_9.0	28	16_43		0.3_8	yes	rod	clump	3056	CCTCCAB2012862_CGMCC1.12333_KCTC32192	acetate__alanine__alanine__arginine__aspartic_acid_aspartate__cellobiose__fructose__fucose__galactose__galcturonic_acid__glucuronamide__glucose__glutamic_acid__glycerol__inosine__lactate__lactose__malate__maltose__mannose__melibiose__methyl_pyruvate__methyl_beta_D_glucoside__N_acetylgulcosamine__proline__raffinose__rhamnose__salicin__serine__sorbitol__sucrose__trehalose		negative		Yes
food_product	2013	10.1099_ijs.0.046029_0	JX515589		NA	4.35	4.35	not_indicated	yes		Lachancea	lanzarotensis	L2C_15			25				yes	cocci	not_indicated	358	CBS12615_CECT13066	2_ketogluconate__ethanol__galactose__glucose__glycerol__maltose__mannitol__raffinose__sucrose__trehalose__xylitol		NA		Yes
marine_sediment	2013	10.1099_ijs.0.050161_0	JX515600	43.8	aerobic	0.9	0.35	non_motile	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__oxidase_positive	Cyclobacterium	caenipelagi	HD_17	7.5	5.0_8.0	25	Apr_37	2	1.0_10.0	yes	spirillum_corkscrew	not_indicated	3158	KCTC32178_CCUG63247	arabinose__cellobiose__fructose__galactose__glucose__maltose__mannose__salicin__sucrose__trehalose__xylose		negative		Yes
other	2013	10.1099_ijs.0.051375_0	JX518988	64	aerobic			motile__but_unspecified_structure	not_indicated	catalase_positive__H2S_production__oxidase_positive	Halopelagius	longus	BC12_B1	7.15	6.0_8.0	48	20_55	18.85	10.44_34.8	yes	rod	clump	3585	CGMCC1.12397_JCM18758	acetate__arabinose__cellobiose__citric_acide_citrate__fructose__galactose__glucose__glycerol__lactate__lactose__malate__maltose__mannitol__mannose__ornithine__pyruvic_acid_pyruvate__ribose__sorbitol__succinic_acid_succinate__sucrose__trehalose__xylose		negative	salt_mine	Yes
other	2013	10.1099_ijs.0.041111_0	JX523627	56.1	facultative_anaerobe	3.75	0.7	non_motile	no	aesculin_hydrolysis	Lactobacillus	shenzhenensis	LY_73		04_Sep		15_45	6		yes	rod	none	1817	CCTCCM2011481_KACC16878	2_ketogluconate__arabinose__cellobiose__galactose__glycerol__lactose__maltose__melibiose__N_acetylgulcosamine__raffinose__rhamnose__ribose__salicin__sucrose__trehalose		positive	fermented_dairy_beverage	Yes
other	2013	10.1099_ijs.0.050906_0	JX524154	72.4	aerobic			not_indicated	yes		Verrucosispora	andamanensis	SP03_05	8	06_Dec	30	20_40	3	0_4	yes	cocci	not_indicated	3970	BCC45620_NBRC109075	cellobiose__fructose__galactose__lactose__salicin		positive	marine_sponge	Yes
marine_sediment	2013	10.1099_ijs.0.048744_0	JX546142	42.3	aerobic	2.5	0.35	non_motile	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__alpha_galactosidase__catalase_positive__gelatinase__oxidase_positive	Hwangdonia	seohaensis	HD_3	7.5	5.0_8.0	30	Apr_37	2.5	01_Jun	yes	rod	clump	3186	KCTC32177_CCUG63246	arabinose__cellobiose__galactose__mannose__trehalose__xylose		negative		Yes
soil	2013	10.1099_ijs.0.048801_0	JX548325	34	aerobic	1.6	0.5	non_motile	no	acid_phosphatase__alkaline_phosphatase__catalase_positive__oxidase_positive	Flavobacterium	yanchengense	hg	7	5.0_8.0	30	15_37	1	0_3	yes	rod	clump	2848	CCTCCAB2012099_KACC16855			negative		Yes
marine_sediment	2013	10.1099_ijs.0.052175_0	JX555981	52.6	aerobic			not_indicated	yes	acid_phosphatase__alkaline_phosphatase__oxidase_positive	Melghirimyces	profundicolus	SCSIO_11153	7	4.0_8.0	52.5	37_65	3	0_12	yes	not_indicated	not_indicated	4552	DSM45787_CCTCCAA2012007_NBRC109068	5_ketoguconate__fructose__ribose		positive		Yes
marine_sediment	2013	10.1099_ijs.0.051714_0	JX555983	73.2	facultative_anaerobe	2	1	non_motile	no	acid_phosphatase__alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Georgenia	sediminis	SCSIO_15020	8.5	06_Oct	50	24_60	2	0_5	NA	rod	not_indicated	4243	DSM25884_NBRC108941	5_ketoguconate__fructose__glucose__ribose__xylose		positive		Yes
soil	2013	10.1099_ijs.0.051185_0	JX566987	64.8	aerobic	2.75	0.6	flagella	not_indicated	alkaline_phosphatase__catalase_positive__oxidase_positive	Dyella	kyungheensis	THG_B117	7		27.5			0_2	yes	rod	not_indicated	3807	ó_KACC16981_JCM18747	gelatin__glucose__salicin		negative		Yes
other	2013	10.1099_ijs.0.047530_0	JX644172	58.3	NA	1.3	0.6	non_motile	no	aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__gelatinase__nitrate_reduction_to_nitrite__oxidase_positive	Litoreibacter	halocynthiae	P_MA1_7	7.5	5.5_8.0	25	Apr_30	2.5	1.5_7.0	yes	cocci	clump	3364	ó_KCTC32213_CCUG63416	galactose__mannitol		negative	sea_squirt	Yes
freshwater_river__lake__pond	2013	10.1099_ijs.0.049718_0	JX658136	67	aerobic	1.225	0.41	non_motile	no	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__gelatinase__oxidase_positive__urease_positive	Luteimonas	huabeiensis	HB2	7	06_Nov	30	20_45	0.5	0_5	yes	rod	clump	3352	ó_DSM26429_CICC11005s	2_aminethanol__2_3_butanediol__acetate__aspartic_acid_aspartate__cellobiose__dextrin__formic_acid__fructose__glucose__glutamic_acid__glycerol__lactate__N_acetylgulcosamine__phenethylamine__proline__propionic_acid_propionate__putrescine__pyruvic_acid_methyl_ester__serine__succinic_acid_succinate__threonine__thymidine__Tween_40__Tween_80		negative		Yes
built_environment	2013	10.1099_ijs.0.050872_0	JX843282	69.6	aerobic	2.5	1.1	flagella	no	acid_phosphatase__alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Azospirillum	fermentarium	CC_LY743	7	6.0_8.0	30	20_37		0_3	yes	spirillum_corkscrew	clump	3762	BCRC80505_JCM18688_LMG27264	2_aminethanol__2_3_butanediol__acetate__carnitine__formic_acid__fucose__galactonic_acid__galactose__gluconic_acid__glucuronamide__glucosamine__glutamic_acid__itaconate__maltose__myo_inositol__pyruvic_acid_methyl_ester__rhamnose__sorbitol__succinic_acid_succinate__sucrose__trehalose__Tween_40__uridine		negative		Yes
built_environment	2013	10.1099_ijs.0.053348_0	JX848544	72.4	aerobic			axial_filament	no		Kallotenue	papyrolyticum	JKG1	7.5	5.6_9.0	55	45_65		0_2.0	NA	not_indicated	not_indicated	4675	DSM26889_JCM19132	acetate__arabinose__cellobiose__citric_acide_citrate__glucose__glycerol__lactate__pyruvic_acid_pyruvate__sucrose__xylose		negative		Yes
plant_associated	2013	10.1099_ijs.0.048249_0	JX855162		aerobic	1.58	0.5	motile__but_unspecified_structure	no		Rhizobium	calliandrae	CCGE524		4.5_5	29				yes	rod	clump	3423	ATCCBAA_2435_CIP110456_LBP2_1	arginine__proline__sucrose		negative		Yes
plant_associated	2013	10.1099_ijs.0.048249_0	JX855169		aerobic	0.86	0.45	non_motile	no		Rhizobium	jaguaris	CCGE525		4.5_5	29				yes	rod	clump	3423	ATCCBAA_2445_CIP110453_SJP1_2	arginine__citric_acide_citrate__sucrose		negative		Yes
plant_associated	2013	10.1099_ijs.0.048249_0	JX855172		aerobic	1.08	0.53	non_motile	no		Rhizobium	mayense	CCGE526		4.5_5	29				yes	rod	clump	3423	ATCCBAA_2446_CIP110454_NSJP1_1	arginine__citric_acide_citrate__sucrose		negative		Yes
freshwater_river__lake__pond	2013	10.1099_ijs.0.048884_0	JX861096	64.7	aerobic	1.55	0.6	flagella	no	acid_phosphatase__alkaline_phosphatase	Caulobacter	daechungensis	H_E3_2	7	06_Sep	30	Apr_32		0_1	yes	rod	not_indicated	2559	KCTC32211_JCM18689	lactate		negative		Yes
human___mouth	2013	10.1099_ijs.0.048538_0	JX861483	40.9	facultative_anaerobe			not_indicated	no		Streptococcus	rubneri	LMG_27207			25_37				yes	cocci	not_indicated	4026	DSM26920	cellobiose__fructose__galactose__glucose__lactose__maltose__mannose__melibiose__N_acetylgulcosamine__raffinose__salicin__sorbitol__sucrose		positive		Yes
other	2013	10.1099_ijs.0.043893_0	JX861507	44.4	anaerobic	3.5	1	non_motile	yes		Desulfotomaculum	peckii	LINDBHT1	6.4	5.9_9.2	57.5	50_65	2.5	0_4	NA	rod	none	2082	DSM23769_JCM17209	acetate__butanol__ethanol		positive	filter_treating_wastewater	Yes
hypersaline_environment	2013	10.1099_ijs.0.043760_0	JX861508	53.4	aerobic			not_indicated	yes	aesculin_hydrolysis__gelatinase	Melghirimyces	thermohalophilus	Nari11A		05_Oct		43_60		May_20	yes	not_indicated	not_indicated	1717	DSM45514_CCUG60050			positive		Yes
other	2013	10.1099_ijs.0.049569_0	JX878306	33.9	anaerobic	2	0.5	not_indicated	not_indicated	catalase_positive	Frischella	perrara	PEB0191	7	6.50_8.00	37	24_42			yes	rod	clump	3646	NCIMB14821_ATCCBAA_2450	fructose__glucose__mannose		negative	gut_of_a_honeybee	Yes
other	2013	10.1099_ijs.0.049833_0	JX948102	35.1	facultative_anaerobe	1.5	1.5	non_motile	no	acid_phosphatase__aesculin_hydrolysis	Enterococcus	alcedinis	L34				15_42			no	cocci	chain	3069	CCM8433_LMG27164	dextrin__fructose__galactose__glucose__inosine__mannitol__mannose__N_acetylgulcosamine__salicin__sucrose__thymidine__trehalose__uridine		positive	kingfisher	Yes
other	2013	10.1099_ijs.0.048736_0	JX966231		aerobic	2.5	0.9	gliding	no	aesculin_hydrolysis__gelatinase__oxidase_positive	Flavobacterium	cutihirudinis	E89	8	6.5_9.5	26.5	Oct_30		0_3	yes	rod	clump	2841	DSM25795_LMG26922_CIP110374	arabinose__cellobiose__galactose__glucose__maltose__mannose__N_acetylgulcosamine__pyruvic_acid_pyruvate__sorbitol__sucrose__trehalose__xylose		negative	skin_of_a_medical_leech	Yes
NA	2013	10.1099_ijs.0.048504_0	JX977118		aerobic			non_motile	yes	catalase_positive__gelatinase__oxidase_positive__urease_positive	Streptosporangium	sandarakinum	GW_12028	7.5	4.5_10.5	29	20_36		0_4	yes	cocci	not_indicated	2484	LMG27062_DSM45763	3_hydroxybutyrate__adonitol__arabinose__cellobiose__fructose__galactose__glucose__maltose__mannitol__mannose__N_acetylgulcosamine__putrescine__ribose__trehalose__xylose		positive		Yes
seawater	2013	10.1099_ijs.0.050765_0	JX984443	33.2	aerobic	6.5	0.3	gliding	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__gelatinase__nitrate_reduction_to_nitrite__oxidase_positive__urease_positive	Tenacibaculum	xiamenense	WJ_1	7.5	6.0_9.0	29	16_38	3	02_Apr	yes	rod	clump	3481	CGMCC1.12378_LMG27422	arabinose__glucose__sucrose__Tween_20__Tween_40__Tween_60__Tween_80		negative		Yes
soil	2013	10.1099_ijs.0.050492_0	JX993821	38.4	aerobic	2.1	0.5	flagella	yes	acid_phosphatase__alkaline_phosphatase__catalase_positive__oxidase_positive	Lysinibacillus	manganicus	Mn1_7	7	5.0_10.0	37	15_45		0_5.5	yes	rod	clump	3568	DSM26584_CCTCCAB2012916	3_hydroxybutyrate__glycogen__malate__serine__valerate		positive		Yes
seawater	2013	10.1099_ijs.0.048645_0	JX994294	52.4	aerobic	2.25	0.3	flagella	not_indicated	acid_phosphatase__alkaline_phosphatase__alpha_galactosidase__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Paraperlucidibaca	wandonensis	WT_RY4	7.25	6.0_9.0	25	Apr_30	0	0_2.0	yes	rod	clump	4113	KCTC32216_CCUG63419	acetate__pyruvic_acid_pyruvate		negative		Yes
seawater	2013	10.1099_ijs.0.051276_0	KC005305	40.8	aerobic	3.25	0.6	not_indicated	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__oxidase_positive	Fabibacter	pacificus	DY53	7.5	6.5_8.5	36	15_40	2	0.5_15.0	yes	rod	clump	3710	CGMCC1.12402_JCM18885	alanine__alanine__arginine__aspartic_acid_aspartate__cellobiose__fructose__galactose__gluconic_acid__glucose__glutamic_acid__glycerol__histidine__lactose__maltose__mannose__ornithine__pyruvic_acid_pyruvate__raffinose__salicin__succinic_acid_succinate__sucrose__trehalose		negative		Yes
